Country,Government Type
Malaysia,"federal parliamentary constitutional monarchy
note: all Peninsular Malaysian states have hereditary rulers (commonly referred to as sultans) except Melaka (Malacca) and Pulau Pinang (Penang); those two states along with Sabah and Sarawak in East Malaysia have governors appointed by government; powers of state governments are limited by the federal constitution; under terms of federation, Sabah and Sarawak retain certain constitutional prerogatives (e.g., right to maintain their own immigration controls)"
Maldives,presidential republic
Mali,semi-presidential republic
Malta,parliamentary republic
Marshall Islands,mixed presidential-parliamentary system in free association with the US
Mauritania,presidential republic
Mauritius,parliamentary republic
Mexico,federal presidential republic
"Micronesia, Federated States of",federal republic in free association with the US
Moldova,parliamentary republic
Monaco,constitutional monarchy
Mongolia,semi-presidential republic
Montenegro,parliamentary republic
Montserrat,parliamentary democracy; self-governing overseas territory of the UK
Morocco,parliamentary constitutional monarchy
Mozambique,presidential republic
Namibia,presidential republic
Nauru,parliamentary republic
Nepal,federal parliamentary republic
Netherlands,parliamentary constitutional monarchy; part of the Kingdom of the Netherlands
New Caledonia,parliamentary democracy (Territorial Congress); an overseas collectivity of France
New Zealand,parliamentary democracy under a constitutional monarchy; a Commonwealth realm
Nicaragua,presidential republic
Niger,semi-presidential republic
Nigeria,federal presidential republic
Niue,parliamentary democracy
Norfolk Island,"non-self-governing overseas territory of Australia; note - the Norfolk Island Regional Council, which began operations 1 July 2016, is responsible for planning and managing a variety of public services, including those funded by the Government of Australia"
North Macedonia,parliamentary republic
Northern Mariana Islands,"republican form of government with separate executive, legislative, and judicial branches; a commonwealth in political union with and under the sovereignty of the US"
Norway,parliamentary constitutional monarchy
Oman,absolute monarchy
Pakistan,federal parliamentary republic
Palau,presidential republic in free association with the US
Panama,presidential republic
Papua New Guinea,parliamentary democracy under a constitutional monarchy; a Commonwealth realm
Paraguay,presidential republic
Peru,presidential republic
Philippines,presidential republic
Pitcairn Islands,parliamentary democracy
Poland,parliamentary republic
Portugal,semi-presidential republic
Puerto Rico,"republican form of government with separate executive, legislative, and judicial branches; unincorporated organized territory of the US with local self-government
Note: reference Puerto Rican Federal Relations Act, 2 March 1917, as amended by Public Law 600, 3 July 1950"
Qatar,absolute monarchy
Romania,semi-presidential republic
Russia,semi-presidential federation
Rwanda,presidential republic
Saint Barthelemy,parliamentary democracy (Territorial Council); overseas collectivity of France
"Saint Helena, Ascension, and Tristan da Cunha",parliamentary democracy
Saint Kitts and Nevis,federal parliamentary democracy under a constitutional monarchy; a Commonwealth realm
Saint Lucia,parliamentary democracy under a constitutional monarchy; a Commonwealth realm
Saint Martin,parliamentary democracy (Territorial Council); overseas collectivity of France
Saint Pierre and Miquelon,parliamentary democracy (Territorial Council); overseas collectivity of France
Saint Vincent and the Grenadines,parliamentary democracy under a constitutional monarchy; a Commonwealth realm
Samoa,parliamentary republic
San Marino,parliamentary republic
Sao Tome and Principe,semi-presidential republic
Saudi Arabia,absolute monarchy
Senegal,presidential republic
Serbia,parliamentary republic
Seychelles,presidential republic
Sierra Leone,presidential republic
Singapore,parliamentary republic
Sint Maarten,parliamentary democracy under a constitutional monarchy
Slovakia,parliamentary republic
Slovenia,parliamentary republic
Solomon Islands,parliamentary democracy under a constitutional monarchy; a Commonwealth realm
Somalia,federal parliamentary republic
South Africa,parliamentary republic
South Sudan,presidential republic
Spain,parliamentary constitutional monarchy
Sri Lanka,presidential republic
Sudan,presidential republic
Suriname,presidential republic
Svalbard,non-self-governing territory of Norway
Sweden,parliamentary constitutional monarchy
Switzerland,federal republic (formally a confederation)
Syria,presidential republic; highly authoritarian regime
Taiwan,semi-presidential republic
Tajikistan,presidential republic
Tanzania,presidential republic
Thailand,constitutional monarchy
Timor-Leste,semi-presidential republic
Togo,presidential republic
Tokelau,parliamentary democracy under a constitutional monarchy
Tonga,constitutional monarchy
Trinidad and Tobago,parliamentary republic
Tunisia,parliamentary republic
Turkey,presidential republic
Turkmenistan,presidential republic; authoritarian
Turks and Caicos Islands,parliamentary democracy
Tuvalu,parliamentary democracy under a constitutional monarchy; a Commonwealth realm
Uganda,presidential republic
Ukraine,semi-presidential republic
United Arab Emirates,federation of monarchies
United Kingdom,parliamentary constitutional monarchy; a Commonwealth realm
United States,constitutional federal republic
Uruguay,presidential republic
Uzbekistan,presidential republic; highly authoritarian
Vanuatu,parliamentary republic
Venezuela,federal presidential republic
Vietnam,communist state
Virgin Islands,"republican form of government with separate executive, legislative, and judicial branches; unincorporated organized territory of the US with local self-government"
Wallis and Futuna,parliamentary democracy (Territorial Assembly); overseas collectivity of France
Western Sahara,"legal status of territory and issue of sovereignty unresolved; territory contested by Morocco and Polisario Front (Popular Front for the Liberation of the Saguia el Hamra and Rio de Oro), which in February 1976 formally proclaimed a government-in-exile of the Sahrawi Arab Democratic Republic (SADR), near Tindouf, Algeria, led by President Mohamed ABDELAZIZ until his death in May 2016; current President Brahim GHALI elected in July 2016; territory partitioned between Morocco and Mauritania in April 1976 when Spain withdrew, with Morocco acquiring northern two-thirds; Mauritania, under pressure from Polisario guerrillas, abandoned all claims to its portion in August 1979; Morocco moved to occupy that sector shortly thereafter and has since asserted administrative control; the Polisario's government-in-exile was seated as an Organization of African Unity (OAU) member in 1984; Morocco between 1980 and 1987 built a fortified sand berm delineating the roughly 75% of Western Sahara west of the barrier that currently is controlled by Morocco; guerrilla activities continued sporadically until a UN-monitored cease-fire was implemented on 6 September 1991 (Security Council Resolution 690) by the United Nations Mission for the Referendum in Western Sahara (MINURSO)"
Yemen,in transition
Zambia,presidential republic
Zimbabwe,presidential republic
